model_number,marginal_log_mean,conditional_log_mean,marginal_mean_ll,conditional_mean_ll,marginal_var_ll,conditional_var_ll
1.0000000000e+00,-1.7300947055e+01,-1.6500859013e+01,-1.7466770532e+01,-1.6909917856e+01,5.0970096811e-01,1.1011940633e+00
1.0000000000e+00,-1.6137363620e+01,-1.5552957757e+01,-1.6502795279e+01,-1.6087646820e+01,1.0142512197e+00,1.4621902873e+00
1.0000000000e+00,-1.4772294163e+01,-1.4416961906e+01,-1.5017647868e+01,-1.4732572533e+01,8.2457387907e-01,1.0083375936e+00
1.0000000000e+00,-1.5258196819e+01,-1.4674519748e+01,-1.5504105472e+01,-1.5059111713e+01,7.4577934344e-01,1.1101800930e+00
1.0000000000e+00,-1.7215439548e+01,-1.6197231117e+01,-1.7288199162e+01,-1.6493682571e+01,1.5494565934e-01,8.3958647796e-01
1.0000000000e+00,-1.6913989842e+01,-1.6340161325e+01,-1.7214736747e+01,-1.6747371248e+01,9.3584129880e-01,1.1976611896e+00
1.0000000000e+00,-1.4871422615e+01,-1.4382239569e+01,-1.4934838106e+01,-1.4562678974e+01,1.3782282788e-01,4.9646449050e-01
1.0000000000e+00,-1.5334649890e+01,-1.4618900990e+01,-1.5674126058e+01,-1.5138088803e+01,1.0201325147e+00,1.5305902694e+00
1.0000000000e+00,-1.4532092777e+01,-1.4215989899e+01,-1.4856377278e+01,-1.4593556531e+01,9.7854873249e-01,1.1312074272e+00
1.0000000000e+00,-1.8462924353e+01,-1.6192868153e+01,-1.8899762808e+01,-1.7208447670e+01,1.3442720887e+00,2.8636404372e+00
1.0000000000e+00,-1.8947834336e+01,-1.7390528231e+01,-1.9179518461e+01,-1.7960222471e+01,4.9411612830e-01,1.6003759698e+00
1.0000000000e+00,-1.9210574360e+01,-1.8204970672e+01,-1.9259301468e+01,-1.8599112554e+01,1.0083678914e-01,9.9215540540e-01
1.0000000000e+00,-1.6532555291e+01,-1.6286369761e+01,-1.6542148889e+01,-1.6369369224e+01,1.9815783273e-02,2.2809712750e-01
